address,version,is_l2,setup_selector
0x8942595a2dc5181df0465af0d7be08c8f23c93af,0.1.0,0,0x0ec78d9e
0xb6029ea3b2c51d09a50b53ca8012feeb05bda35a,1.0.0,0,0xa97ab18a
0xae32496491b53841efb51829d6f886387708f99b,1.1.0,0,0xb63e800d
0x34cfac646f301356faa8b21e94227e3583fe3f5f,1.1.1,0,0xb63e800d
0x2cb0ebc503de87cfd8f0eceed8197bf7850184ae,1.1.1Circles,0,0xb63e800d
0x6851d6fdfafd08c0295c392436245e5bc78b0185,1.2.0,0,0xb63e800d
0xd9db270c1b5e3bd161e8c8503c55ceabee709552,1.3.0,0,0xb63e800d
0x69f4d1788e39c87893c980c06edf4b7f686e2938,1.3.0,0,0xb63e800d
0x3e5c63644e683549055b9be8653de26e0b4cd36e,1.3.0L2,1,0xb63e800d
0xfb1bffc9d739b8d520daf37df666da4c687191ea,1.3.0L2,1,0xb63e800d
0x41675c099f32341bf84bfc5382af534df5c7461a,1.4.1,0,0xb63e800d
0x29fcb43b46531bca003ddc8fcb67ffe91900c762,1.4.1L2,1,0xb63e800d
